datetime,event,delta_post_fc,post_pips,post_max_pips,post_min_pips,post_mean_pips,post_sum_pips,previous,forecast,actual
2019-05-01 15:15:00,ADP Nonfarm Employment Change  (Apr),181K vs 151K,12.999999999998568,24.800000000000377,-4.20000000000087,0.8187499999996739,13.099999999994782,151K,181K,275K
2019-05-01 17:00:00,ISM Manufacturing PMI  (Apr),55.0 vs 55.3,30.39999999999932,35.09999999999902,-4.20000000000087,1.6666666666662364,29.99999999999225,55.3,55.0,52.8
2019-05-02 15:30:00,Initial Jobless Claims,220K vs 230K,-13.699999999998711,20.000000000000018,-23.199999999998777,-0.8437499999998377,-13.499999999997405,230K,220K,230K
2019-05-03 15:30:00,Nonfarm Payrolls  (Apr),181K vs 189K,-5.899999999998684,5.700000000001815,-36.89999999999971,-0.3875000000000406,-6.200000000000649,189K,181K,263K
2019-05-03 15:30:00,Unemployment Rate  (Apr),3.8% vs 3.8%,-5.899999999998684,5.700000000001815,-36.89999999999971,-0.3875000000000406,-6.200000000000649,3.8%,3.8%,3.6%
2019-05-03 17:00:00,ISM Non-Manufacturing PMI  (Apr),57.2 vs 56.1,16.00000000000046,27.900000000000706,-36.89999999999971,0.5944444444443914,10.699999999999044,56.1,57.2,55.5
2019-05-07 17:00:00,JOLTS Job Openings  (Mar),7.350M vs 7.142M,-17.000000000000348,23.100000000000342,-19.899999999999363,-0.9277777777774412,-16.699999999993942,7.142M,7.350M,7.488M
2019-05-09 15:30:00,Initial Jobless Claims,215K vs 230K,41.20000000000124,48.50000000000021,-20.599999999999508,2.5499999999999137,40.79999999999862,230K,215K,228K
2019-05-09 15:30:00,PPI (MoM)  (Apr),0.2% vs 0.6%,41.20000000000124,48.50000000000021,-20.599999999999508,2.5499999999999137,40.79999999999862,0.6%,0.2%,0.2%
2019-05-10 15:30:00,Core CPI (MoM)  (Apr),0.2% vs 0.1%,27.20000000000056,31.20000000000012,-0.5999999999994898,1.7000000000000348,27.20000000000056,0.1%,0.2%,0.1%
2019-05-10 15:30:00,CPI (MoM)  (Apr),0.4% vs 0.4%,27.20000000000056,31.20000000000012,-0.5999999999994898,1.7000000000000348,27.20000000000056,0.4%,0.4%,0.3%
2019-05-10 15:30:00,CPI (YoY)  (Apr),2.1% vs 1.9%,27.20000000000056,31.20000000000012,-0.5999999999994898,1.7000000000000348,27.20000000000056,1.9%,2.1%,2.0%
2019-05-15 15:30:00,Core Retail Sales (MoM)  (Apr),0.7% vs 1.3%,-21.299999999999653,9.799999999999809,-29.09999999999968,-1.3124999999998554,-20.999999999997687,1.3%,0.7%,0.1%
2019-05-15 15:30:00,Retail Sales (MoM)  (Apr),0.2% vs 1.7%,-21.299999999999653,9.799999999999809,-29.09999999999968,-1.3124999999998554,-20.999999999997687,1.7%,0.2%,-0.2%
2019-05-16 15:30:00,Initial Jobless Claims,220K vs 228K,-18.500000000001293,19.099999999998563,-21.700000000000053,-1.1687499999998852,-18.699999999998163,228K,220K,212K
