datetime,event,delta_post_fc,post_pips,post_max_pips,post_min_pips,post_mean_pips,post_sum_pips,previous,forecast,actual
2019-02-05 18:00:00,ISM Non-Manufacturing PMI  (Jan),57.2 vs 58.0,-30.29999999999866,5.100000000000104,-34.19999999999979,-1.615789473684278,-30.70000000000128,58.0,57.2,56.7
2019-02-07 16:30:00,Initial Jobless Claims,221K vs 253K,-14.899999999999912,6.800000000000139,-37.10000000000102,-0.9117647058821872,-15.499999999997184,253K,221K,234K
2019-02-12 18:00:00,JOLTS Job Openings  (Dec),6.900M vs 7.166M,40.29999999999978,46.69999999999952,-17.500000000001403,2.105263157894505,39.9999999999956,7.166M,6.900M,7.335M
2019-02-13 16:30:00,Core CPI (MoM)  (Jan),0.2% vs 0.2%,-26.89999999999859,16.300000000000203,-44.19999999999868,-1.6000000000001633,-27.200000000002778,0.2%,0.2%,0.2%
2019-02-13 16:30:00,CPI (MoM)  (Jan),0.1% vs -0.1%,-26.89999999999859,16.300000000000203,-44.19999999999868,-1.6000000000001633,-27.200000000002778,-0.1%,0.1%,0.0%
2019-02-13 16:30:00,CPI (YoY)  (Jan),1.5% vs 1.9%,-26.89999999999859,16.300000000000203,-44.19999999999868,-1.6000000000001633,-27.200000000002778,1.9%,1.5%,1.6%
2019-02-14 16:30:00,Core Retail Sales (MoM)  (Dec),0.0% vs 0.2%,35.70000000000073,49.70000000000141,-11.099999999999444,2.111764705882604,35.90000000000426,0.2%,0.0%,-1.8%
2019-02-14 16:30:00,Initial Jobless Claims,225K vs 235K,35.70000000000073,49.70000000000141,-11.099999999999444,2.111764705882604,35.90000000000426,235K,225K,239K
2019-02-14 16:30:00,PPI (MoM)  (Jan),0.1% vs -0.1%,35.70000000000073,49.70000000000141,-11.099999999999444,2.111764705882604,35.90000000000426,-0.1%,0.1%,-0.1%
2019-02-14 16:30:00,Retail Sales (MoM)  (Dec),0.1% vs 0.1%,35.70000000000073,49.70000000000141,-11.099999999999444,2.111764705882604,35.90000000000426,0.1%,0.1%,-1.2%
2019-02-21 16:30:00,Initial Jobless Claims,220K vs 239K,6.999999999999229,30.39999999999932,-15.700000000000712,0.3823529411764938,6.500000000000394,239K,220K,216K
2019-02-28 16:30:00,GDP (QoQ)  (Q4),2.6% vs 3.4%,14.099999999999111,50.59999999999842,-1.99999999999978,0.8352941176471759,14.200000000001989,3.4%,2.6%,2.6%
2019-02-28 16:30:00,Initial Jobless Claims,221K vs 217K,14.099999999999111,50.59999999999842,-1.99999999999978,0.8352941176471759,14.200000000001989,217K,221K,225K
2019-03-01 16:30:00,Core PCE Price Index (YoY)  (Dec),1.9% vs 1.9%,25.69999999999961,29.50000000000008,-17.300000000000093,1.523529411764891,25.900000000003143,1.9%,1.9%,1.9%
2019-03-01 16:30:00,Core PCE Price Index (MoM)  (Dec),0.2% vs 0.2%,25.69999999999961,29.50000000000008,-17.300000000000093,1.523529411764891,25.900000000003143,0.2%,0.2%,0.2%
