datetime,event,actual,forecast,previous
2019-08-09 15:30:00,PPI (MoM)  (Jul),0.2%,0.2%,0.1%
2019-08-13 15:30:00,Core CPI (MoM)  (Jul),0.3%,0.2%,0.3%
2019-08-13 15:30:00,CPI (YoY)  (Jul),1.8%,1.7%,1.6%
2019-08-13 15:30:00,CPI (MoM)  (Jul),0.3%,0.3%,0.1%
2019-08-15 15:30:00,Core Retail Sales (MoM)  (Jul),1.0%,0.4%,0.3%
2019-08-15 15:30:00,Initial Jobless Claims,220K,214K,211K
2019-08-15 15:30:00,Retail Sales (MoM)  (Jul),0.7%,0.3%,0.3%
2019-08-22 15:30:00,Initial Jobless Claims,209K,216K,221K
2019-08-29 15:30:00,GDP (QoQ)  (Q2),2.0%,2.0%,2.1%
2019-08-29 15:30:00,Initial Jobless Claims,215K,215K,211K
2019-08-30 15:30:00,Core PCE Price Index (YoY)  (Jul),1.6%,1.6%,1.6%
2019-08-30 15:30:00,Core PCE Price Index (MoM)  (Jul),0.2%,0.3%,0.2%
2019-09-03 17:00:00,ISM Manufacturing PMI  (Aug),49.1,51.1,51.2
2019-09-05 15:15:00,ADP Nonfarm Employment Change  (Aug),195K,148K,142K
2019-09-05 15:30:00,Initial Jobless Claims,217K,215K,216K
2019-09-05 17:00:00,ISM Non-Manufacturing PMI  (Aug),56.4,54.0,53.7
2019-09-06 15:30:00,Nonfarm Payrolls  (Aug),130K,160K,159K
2019-09-06 15:30:00,Unemployment Rate  (Aug),3.7%,3.7%,3.7%
2019-09-10 17:00:00,JOLTS Job Openings  (Jul),7.217M,7.311M,7.248M
2019-09-11 15:30:00,PPI (MoM)  (Aug),0.1%,0.1%,0.2%
2019-09-12 15:30:00,Core CPI (MoM)  (Aug),0.3%,0.2%,0.3%
2019-09-12 15:30:00,CPI (YoY)  (Aug),1.7%,1.8%,1.8%
2019-09-12 15:30:00,CPI (MoM)  (Aug),0.1%,0.1%,0.3%
2019-09-12 15:30:00,Initial Jobless Claims,204K,215K,219K
2019-09-13 15:30:00,Core Retail Sales (MoM)  (Aug),0.0%,0.1%,1.0%
2019-09-13 15:30:00,Retail Sales (MoM)  (Aug),0.4%,0.2%,0.8%
2019-09-19 15:30:00,Initial Jobless Claims,208K,213K,206K
2019-09-26 15:30:00,GDP (QoQ)  (Q2),2.0%,2.0%,2.0%
2019-09-26 15:30:00,Initial Jobless Claims,213K,212K,210K
2019-09-27 15:30:00,Core PCE Price Index (YoY)  (Aug),1.8%,1.8%,1.7%
2019-09-27 15:30:00,Core PCE Price Index (MoM)  (Aug),0.1%,0.2%,0.2%
2019-10-01 17:00:00,ISM Manufacturing PMI  (Sep),47.8,50.4,49.1
2019-10-02 15:15:00,ADP Nonfarm Employment Change  (Sep),135K,140K,157K
2019-10-03 15:30:00,Initial Jobless Claims,219K,215K,215K
2019-10-03 17:00:00,ISM Non-Manufacturing PMI  (Sep),52.6,55.0,56.4
2019-10-04 15:30:00,Nonfarm Payrolls  (Sep),136K,140K,168K
2019-10-04 15:30:00,Unemployment Rate  (Sep),3.5%,3.7%,3.7%
2019-10-08 15:30:00,PPI (MoM)  (Sep),-0.3%,0.1%,0.1%
2019-10-09 17:00:00,JOLTS Job Openings  (Aug),7.051M,7.191M,7.174M
2019-10-10 15:30:00,Core CPI (MoM)  (Sep),0.1%,0.2%,0.3%
2019-10-10 15:30:00,CPI (YoY)  (Sep),1.7%,1.8%,1.7%
2019-10-10 15:30:00,CPI (MoM)  (Sep),0.0%,0.1%,0.1%
2019-10-10 15:30:00,Initial Jobless Claims,210K,215K,220K
2019-10-16 15:30:00,Core Retail Sales (MoM)  (Sep),-0.1%,0.2%,0.2%
2019-10-16 15:30:00,Retail Sales (MoM)  (Sep),-0.3%,0.3%,0.6%
2019-10-17 15:30:00,Initial Jobless Claims,214K,212K,210K
2019-10-24 15:30:00,Initial Jobless Claims,212K,216K,218K
2019-10-30 15:15:00,ADP Nonfarm Employment Change  (Oct),125K,120K,93K
2019-10-30 15:30:00,GDP (QoQ)  (Q3),1.9%,1.6%,2.0%
2019-10-31 15:30:00,Core PCE Price Index (YoY)  (Sep),1.7%,1.7%,1.8%
2019-10-31 15:30:00,Core PCE Price Index (MoM)  (Sep),0.0%,0.1%,0.1%
2019-10-31 15:30:00,Initial Jobless Claims,218K,215K,213K
2019-11-01 15:30:00,Nonfarm Payrolls  (Oct),128K,89K,180K
2019-11-01 15:30:00,Unemployment Rate  (Oct),3.6%,3.6%,3.5%
2019-11-01 17:00:00,ISM Manufacturing PMI  (Oct),48.3,48.9,47.8
2019-11-05 18:00:00,ISM Non-Manufacturing PMI  (Oct),54.7,53.5,52.6
2019-11-05 18:00:00,JOLTS Job Openings  (Sep),7.024M,7.028M,7.301M
2019-11-07 16:30:00,Initial Jobless Claims,211K,215K,218K
2019-11-13 16:30:00,Core CPI (MoM)  (Oct),0.2%,0.2%,0.1%
2019-11-13 16:30:00,CPI (MoM)  (Oct),0.4%,0.3%,0.1%
2019-11-13 16:30:00,CPI (YoY)  (Oct),1.8%,1.7%,1.7%
2019-11-14 16:30:00,Initial Jobless Claims,225K,215K,211K
2019-11-14 16:30:00,PPI (MoM)  (Oct),0.4%,0.3%,-0.3%
2019-11-15 16:30:00,Core Retail Sales (MoM)  (Oct),0.2%,0.4%,-0.1%
2019-11-15 16:30:00,Retail Sales (MoM)  (Oct),0.3%,0.2%,-0.3%
2019-11-21 16:30:00,Initial Jobless Claims,227K,219K,227K
2019-11-27 16:30:00,GDP (QoQ)  (Q3),2.1%,1.9%,1.9%
2019-11-27 16:30:00,Initial Jobless Claims,213K,223K,228K
2019-11-27 18:00:00,Core PCE Price Index (YoY)  (Oct),1.6%,1.7%,1.7%
2019-11-27 18:00:00,Core PCE Price Index (MoM)  (Oct),0.1%,0.2%,0.0%
2019-12-02 18:00:00,ISM Manufacturing PMI  (Nov),48.1,49.2,48.3
2019-12-04 16:15:00,ADP Nonfarm Employment Change  (Nov),67K,140K,121K
2019-12-04 18:00:00,ISM Non-Manufacturing PMI  (Nov),53.9,54.5,54.7
2019-12-05 16:30:00,Initial Jobless Claims,203K,215K,213K
2019-12-06 16:30:00,Nonfarm Payrolls  (Nov),266K,186K,156K
2019-12-06 16:30:00,Unemployment Rate  (Nov),3.5%,3.6%,3.6%
2019-12-11 16:30:00,Core CPI (MoM)  (Nov),0.2%,0.2%,0.2%
2019-12-11 16:30:00,CPI (YoY)  (Nov),2.1%,2.0%,1.8%
2019-12-11 16:30:00,CPI (MoM)  (Nov),0.3%,0.2%,0.4%
2019-12-12 16:30:00,Initial Jobless Claims,252K,213K,203K
2019-12-12 16:30:00,PPI (MoM)  (Nov),0.0%,0.2%,0.4%
2019-12-13 16:30:00,Core Retail Sales (MoM)  (Nov),0.1%,0.4%,0.3%
2019-12-13 16:30:00,Retail Sales (MoM)  (Nov),0.2%,0.5%,0.4%
2019-12-17 18:00:00,JOLTS Job Openings  (Oct),7.267M,7.018M,7.032M
2019-12-19 16:30:00,Initial Jobless Claims,234K,225K,252K
2019-12-20 16:30:00,GDP (QoQ)  (Q3),2.1%,2.1%,2.1%
2019-12-20 18:00:00,Core PCE Price Index (MoM)  (Nov),0.1%,0.1%,0.1%
2019-12-20 18:00:00,Core PCE Price Index (YoY)  (Nov),1.6%,1.6%,1.7%
2019-12-26 16:30:00,Initial Jobless Claims,222K,224K,235K
